,inst_id,start_time,cpu_usage
0,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,0,660.2087413404743
1,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,1,636.9796384934498
2,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,2,649.5696552506571
3,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,3,642.25373740411
4,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,4,651.0877191157924
5,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,5,638.8039633731881
6,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,6,641.2577200534438
7,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,7,662.1259196209971
8,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,8,626.7930708290479
9,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,9,660.2565354497176
10,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,10,638.4561505915649
11,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,11,659.046951332149
12,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,12,629.2600001729428
13,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,13,618.1529969639444
14,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,14,638.7614750431934
15,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,15,662.8961707724097
16,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,16,663.4546614805223
17,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,17,648.4425408314696
18,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,18,645.9329361125764
19,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,19,652.9336978668471
20,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,20,646.1675139727101
21,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,21,655.9092511001325
22,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,22,656.7243343497197
23,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,23,666.331388616323
24,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,24,658.8578083545425
25,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,25,633.8452677606884
26,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,26,650.1489716671325
27,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,27,637.6526578283929
28,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,28,643.081117685061
29,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,29,648.2947018412069
30,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,30,645.5511457424209
31,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,31,636.080137189811
32,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,32,656.0436431664209
33,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,33,643.1223404697533
34,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,34,631.8441676139888
35,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,35,655.0210547380691
36,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,36,648.7825096220971
37,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,37,653.7400342029422
38,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,38,660.4755861286471
39,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,39,656.5404953462759
