,inst_id,time,cpu_usage,bins,partition
0,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,0,449.0,A,A1
1,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,1,449.0260037239434,A,A1
2,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,2,449.0556893921208,A,A1
3,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,3,449.07186720961823,A,A1
4,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,4,449.12818480965257,A,A1
5,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,5,449.1595775381927,A,A1
6,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,6,449.1551658338548,A,A1
7,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,7,449.2291705432835,A,A1
8,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,8,449.0798389686781,A,A1
9,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,9,449.2010889830314,A,A1
10,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,10,449.10395968795984,A,A1
11,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,11,449.01513583131975,A,A1
12,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,12,449.1048027717293,A,A1
13,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,13,449.07868157577775,A,A1
14,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,14,449.402489393325,A,A1
15,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,15,449.2117091941039,A,A1
16,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,16,449.1161675592893,A,A1
17,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,17,449.04636432990526,A,A1
18,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,18,449.27496878915287,A,A1
19,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,19,449.122064758103,A,A1
20,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,20,449.5159139109917,A,A1
21,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,21,449.54112814767217,A,A1
22,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,22,449.70458782340825,A,A1
23,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,23,449.563144333167,A,A1
24,8c1bd26acb80d4c1e90905336d4186f42de43b524e88de1de4300eb9dcfe,24,476.1576236690827,A,A1
